Date,Open,High,Low,Close,Adj Close,Volume
2022-10-24,275.690002,279.399994,271.970001,278.450012,277.355591,63963600
2022-10-25,279.410004,284.600006,277.899994,284.209991,283.092926,59014500
2022-10-26,278.459991,283.980011,277.429993,277.929993,276.837616,63492400
2022-10-27,276.790009,278.279999,272.339996,272.869995,271.797516,57760300
2022-10-28,272.230011,281.700012,272.059998,281.220001,280.114685,62651300
2022-10-31,278.920013,279.760010,275.989990,277.950012,276.857544,47742000
2022-11-01,281.500000,282.070007,274.739990,275.109985,274.028687,45895900
2022-11-02,275.079987,278.209991,265.609985,265.679993,264.635742,79803100
2022-11-03,263.010010,264.500000,260.100006,260.489990,259.466187,70038900
2022-11-04,265.529999,266.609985,259.079987,264.679993,263.639709,78313200
2022-11-07,265.750000,268.140015,263.570007,267.589996,266.538269,47333800
2022-11-08,269.140015,272.850006,265.519989,269.540009,268.480591,63213800
2022-11-09,267.760010,268.559998,263.029999,263.320007,262.285065,64862100
2022-11-10,276.010010,283.049988,273.850006,282.750000,281.638672,99256700
2022-11-11,282.559998,288.640015,281.190002,287.959991,286.828217,66961800
2022-11-14,285.859985,289.209991,284.440002,285.440002,284.318115,55290700
2022-11-15,292.209991,293.260010,285.970001,289.390015,288.252594,73985400
2022-11-16,287.390015,289.480011,284.600006,285.440002,284.318115,48859800
2022-11-17,280.880005,286.320007,280.720001,284.809998,283.690582,55462100
2022-11-18,287.890015,287.989990,282.320007,284.820007,283.700531,53588600
2022-11-21,283.399994,284.579987,281.040009,281.890015,280.782074,40083500
2022-11-22,282.640015,286.109985,280.459991,285.950012,284.826111,41873400
2022-11-23,285.970001,289.459991,285.790009,288.820007,287.684814,46390000
2022-11-25,287.190002,287.910004,286.420013,286.920013,285.792297,15498800
2022-11-28,284.899994,286.959991,281.760010,282.709991,281.598846,38714200
2022-11-29,282.940002,283.350006,279.170013,280.570007,279.467255,35618900
2022-11-30,280.839996,293.470001,279.970001,293.359985,292.206970,74718100
2022-12-01,293.690002,295.750000,290.880005,293.720001,292.565552,51547300
2022-12-02,288.540009,293.450012,288.359985,292.549988,291.400177,53583200
2022-12-05,290.380005,291.679993,286.149994,287.640015,286.509491,41482100
2022-12-06,287.480011,287.619995,280.260010,281.679993,280.572876,53937600
2022-12-07,280.470001,282.570007,278.779999,280.529999,279.427399,45614300
2022-12-08,281.910004,284.839996,279.790009,283.850006,282.734344,42594900
2022-12-09,282.809998,285.640015,281.589996,282.040009,280.931488,47860500
2022-12-12,282.220001,285.640015,281.160004,285.579987,284.457550,35732500
2022-12-13,296.649994,296.880005,285.910004,288.649994,287.515503,80667700
2022-12-14,288.049988,291.410004,283.190002,286.510010,285.383911,64984400
2022-12-15,282.329987,283.010010,275.670013,276.890015,275.801727,60554100
2022-12-16,276.200012,277.769989,272.609985,274.250000,273.172089,68300400
2022-12-19,273.869995,273.959991,268.489990,269.750000,269.333038,44167900
2022-12-20,268.559998,271.320007,266.950012,269.540009,269.123383,51064200
2022-12-21,270.600006,274.779999,269.739990,273.450012,273.027344,46394700
2022-12-22,270.380005,270.510010,262.459991,266.760010,266.347687,60278400
